Code,Description,Code Type,Format Group,Format Subgroup,Category Group,Category Subgroup
pkbknh,Peak Picks Book,ItemType,,,,
acart,Framed Art: Adult/YA,ItemType,Media,Art,,
acbk,Book: Adult/YA,ItemType,Print,Book,,
accas,Audio Tape: Adult/YA,ItemType,Media,Audio Tape,,
accd,CD: Adult/YA,ItemType,Media,Audio Disc,,
accdrom,CD-ROM: Adult/YA,ItemType,Media,Data Disc,,
acdisk,Diskette: Adult/YA,ItemType,Media,Data Disc,,
acdvd,DVD: Adult/YA,ItemType,Media,Video Disc,,
aceq,Equipment: Adult/YA,ItemType,Equipment,,,
aceqnh,Equipment: Adult/YA No Hold,ItemType,Equipment,,,
acfold,Folder: Adult/YA,ItemType,Media,Kit,,
ackit,Kit: Adult/YA,ItemType,Media,Kit,,
acmap,Map: Adult/YA,ItemType,Print,,,
acmus,Music Score: Adult/ya,ItemType,Print,Music Score,,
acpam,Pamphlet: Adult/ya,ItemType,Print,,,
acper,Magazine: Adult/ya,ItemType,Print,Periodical,,
acphoto,Photographs: Adult/ya,ItemType,Media,Art,,
acpost,Poster: Adult/YA,ItemType,Media,Art,,
acrec,Record: Adult/YA,ItemType,Media,Audio Disc,,
acslide,Slides: Adult/YA,ItemType,Media,Film,,
acunkn,Other: Adult/YA,ItemType,Print,,,
acvhs,Video (VHS): Adult/YA,ItemType,Media,Video Tape,,
acvid,Video: Adult/YA,ItemType,Media,Video Tape,,
ahbk,Book: Adult/YA: No Hold,ItemType,Print,Book,,
ahmfc,Microfiche: Adult/YA No Hold,ItemType,Media,Film,,
ahmfm,Microfilm: Adult/YA No Hold,ItemType,Media,Film,,
alaptop,Laptop: Hourly Circulating,ItemType,Equipment,,,
alvhs,Video (VHS): Adult/YA,ItemType,Media,Video Tape,,
atablet,Tablet computer,ItemType,Equipment,,,
bcbk,Book: Adult/Formerly No Fine,ItemType,Print,Book,,
bccas,Audio Tape: Speech Adult Formerly No Fine,ItemType,Media,Audio Tape,,
bccd,Book On CD: Rec Book Adult/Formerly No Fine,ItemType,Media,Audiobook Disc,,
bccdrom,CD-ROM: Adult/Formerly No Fine,ItemType,Media,Data Disc,,
bcdvd,DVD: Adult/Formerly No Fine,ItemType,Media,Video Disc,,
bckit,Kit: Adult Formerly No Fine,ItemType,Media,Kit,,
bcper,Magazine: Adult/Formerly No Fine,ItemType,Print,Periodical,,
bcvhs,Video (VHS): Adult/Formerly No Fine,ItemType,Media,Video Tape,,
blvhs,Video (VHS): Adult/Formerly No Fine Multi Vol,ItemType,Media,Video Tape,,
cabob,CA-Books on Bikes,ItemCollection,Print,Book,,
cacd,CA8-Music CD,ItemCollection,Media,Audio Disc,,
cadocmf,CA6-Microform - Documents,ItemCollection,Media,Document,,
cadocpt,CA6-Poster - DOC,ItemCollection,Media,Document,,
caesl,CA1-ESL,ItemCollection,Print,Book,,
caesla,CA1-ESL Advanced,ItemCollection,Print,Book,,
caeslb,CA1-ESL Beginning,ItemCollection,Print,Book,,
caeslc,CA1-ESL Citizenship,ItemCollection,Print,Book,,
caesli,CA1-ESL Intermediate,ItemCollection,Print,Book,,
caeslt,CA1-ESL Teachers,ItemCollection,Print,Book,,
cafold,CA-Folder,ItemCollection,Print,Folder,,
cafund,CA7-Fundraising Reference,ItemCollection,Print,Book,,
cag,CA 9 Genealogy,ItemCollection,Print,Book,,
cagbi,CA9-Geneal. Bibliographies,ItemCollection,Print,Book,,
cagcdr,CA9-Genealogy CDROMs,ItemCollection,Media,Data Disc,,
cagmf,CA9-Microform,ItemCollection,Media,Film,,
cagrs,CA5-General Reference,ItemCollection,Print,Book,,
cagrsat,"CA5-Ref-Atlas, GRS",ItemCollection,Print,Book,,
caindex,CA6-Magazine Indexes,ItemCollection,Print,Book,,
cainter,CA6-International Reference,ItemCollection,Print,Book,,
